%time,field.sys_time,field.q0,field.q1,field.dq0,field.dq1,field.sac0,field.u0
1463676026015091977,0.0,0.0,0.0,0.0,0.0,0.0,-0.21149662137
1463676026028479756,0.0166666675359,3.13533473015,-3.17502951622,-0.375480830669,0.377122431993,0.0,-0.21149662137
1463676026062251074,0.0500000007451,3.12783050537,-3.16741418839,-0.074772849679,0.0797963365912,0.0,-0.21149662137
1463676026117370392,0.0833333358169,3.1302280426,-3.16958236694,0.21862693131,-0.209890857339,0.0,-0.21149662137
1463676026128399509,0.116666667163,3.1413166523,-3.18036031723,0.446689575911,-0.436790823936,0.0,-0.21149662137
1463676026161942239,0.15000000596,3.13993668556,-3.17863082886,-0.529477655888,0.540566682816,0.0,-0.21149662137
1463676026194624225,0.183333337307,3.12983393669,-3.16811966896,-0.0766986533999,0.090105034411,0.0,-0.21149662137
1463676026228124438,0.216666668653,3.1240541935,-3.16180539131,-0.27008625865,0.288746714592,0.0,-0.21149662137
1463676026261625770,0.25,3.12395238876,-3.16099524498,0.263979882002,-0.240131109953,0.0,-0.21149662137
1463676026294436297,0.283333331347,3.12889933586,-3.16506505013,0.0328334793448,-0.00406170729548,0.0,-0.21149662137
1463676026327676494,0.316666662693,3.12831902504,-3.16345310211,-0.0676430240273,0.100780695677,0.0,-0.21149662137
1463676026361567268,0.34999999404,3.12970972061,-3.16367506981,0.151084885001,-0.114107899368,0.0,-0.21149662137
1463676026394639313,0.383333325386,3.13430905342,-3.16699314117,0.124869585037,-0.0849659442902,0.0,-0.21149662137
1463676026428205948,0.416666656733,3.13703608513,-3.1683588028,0.0387583747506,0.00301753403619,0.0,-0.21149662137
1463676026461477124,0.449999988079,3.13208341599,-3.16196584702,-0.335925191641,0.380557656288,0.0,-0.21149662137
1463676026530346048,0.483333319426,3.13343048096,-3.1617898941,0.416757434607,-0.370001137257,0.0,-0.21149662137
1463676026537859143,0.516666650772,3.13303685188,-3.15978050232,-0.440374076366,0.490576177835,0.0,-0.21149662137
1463676026562686813,0.550000011921,3.12659597397,-3.15160417557,0.0539141967893,0.0,0.0,-0.21149662137
1463676026596012211,0.583333313465,3.12088322639,-3.14398550987,-0.396675765514,0.457124143839,0.0,-0.21149662137
1463676026627886947,0.616666674614,3.10608029366,-3.12700009346,-0.491503328085,0.561991989613,0.0,-0.21149662137
1463676026661566855,0.649999976158,3.08607292175,-3.10437250137,-0.708933949471,0.79566848278,0.0,-0.21149662137
1463676026716158157,0.683333337307,3.05026769638,-3.06521439552,-1.43937683105,1.55382192135,0.0,-0.21149662137
1463676026728833497,0.716666638851,2.9865591526,-2.99687099457,-2.38314557076,2.54677081108,0.0,-0.21149662137
1463676026762296966,0.75,2.9034948349,-2.90713572502,-2.60070800781,2.83735132217,0.0,-0.21149662137
1463676026795302640,0.783333361149,2.81973433495,-2.8139629364,-2.42492222786,2.75300955772,0.0,-0.21149662137
1463676026830074926,0.816666662693,2.69004940987,-2.66794967651,-5.35617113113,6.00779342651,0.0,-0.21149662137
1463676026862633230,0.850000023842,2.55088353157,-2.5100209713,-2.99378848076,3.46793341637,0.0,-0.21149662137
1463676026921630257,0.883333325386,2.44303154945,-2.38021564484,-3.47732257843,4.32038640976,-22.7555389404,-0.21149662137
1463676026929254998,0.916666686535,2.32128858566,-2.22292733192,-3.82726264,5.11690044403,-22.7555389404,-0.21149662137
1463676026960975301,0.949999988079,2.20048308372,-2.05621886253,-3.42106795311,4.88561010361,-22.7555389404,-0.21149662137
1463676026995127549,0.983333349228,2.06280946732,-1.84125578403,-4.83933925629,8.01218128204,-22.7555389404,-0.21149662137
1463676027029451401,1.01666665077,1.9115973711,-1.58649802208,-4.23339176178,7.27328300476,-22.7555389404,-0.21149662137
1463676027061302223,1.04999995232,1.77614557743,-1.34510338306,-3.89372038841,7.21039390564,-22.7555389404,-0.21149662137
1463676027104532415,1.08333337307,1.64095103741,-1.0268419981,-4.21794843674,11.8852853775,-22.7555389404,-0.21149662137
1463676027135682714,1.11666667461,1.50591623783,-0.727737247944,-3.88414096832,6.06100177765,0.0,-0.21149662137
1463676027162809828,1.14999997616,1.37622785568,-0.569961905479,-3.89716458321,3.40552067757,0.0,-0.21149662137
1463676027195268131,1.1833332777,1.2676461935,-0.394210666418,-2.61772990227,7.13955307007,0.0,-0.21149662137
1463676027228643747,1.21666669846,1.16259551048,-0.223894104362,-3.68531489372,3.07944059372,0.0,-0.21149662137
1463676027262251870,1.25,1.03352308273,-0.14593565464,-4.05902957916,1.59806632996,0.0,-0.21149662137
1463676027318609584,1.28333330154,0.922365307808,-0.0582797788084,-2.61043739319,3.66128635406,0.0,-0.21149662137
1463676027327969395,1.3166667223,0.818574249744,0.0307911392301,-3.6170270443,1.68296873569,0.0,-0.21149662137
1463676027361968514,1.35000002384,0.687813699245,0.0675915703177,-4.2286028862,0.525057137012,0.0,-0.21149662137
1463676027394651835,1.38333332539,0.546774446964,0.080993950367,-4.23375225067,0.279085487127,0.0,-0.21149662137
1463676027429179432,1.41666662693,0.403506547213,0.0849643424153,-4.36232423782,-0.0408617928624,0.0,-0.21149662137
1463676027462146157,1.45000004768,0.26012301445,0.083748459816,-4.24068832397,-0.032091178,0.0,-0.21149662137
1463676027526516683,1.48333334923,0.120838388801,0.0836213380098,-4.11638832092,0.0244637019932,0.0,-0.21149662137
1463676027531092512,1.51666665077,-0.0141397053376,0.0862695872784,-3.9822974205,0.134431421757,0.0,-0.21149662137
1463676027562250719,1.54999995232,-0.145226955414,0.0927342474461,-3.88293719292,0.253447920084,0.0,-0.21149662137
