%time,field.sys_time,field.q0,field.q1,field.dq0,field.dq1,field.sac0,field.u0
1463677930849153156,0.0,0.0,0.0,0.0,0.0,0.0,3.72029924393
1463677930874246422,0.0166666675359,3.14110779762,-0.23038212955,-0.0290911514312,0.0292189065367,0.0,3.72029924393
1463677930893336106,0.0500000007451,3.13989424706,-0.229157045484,-0.043728493154,0.0442861095071,0.0,3.72029924393
1463677930920580924,0.0833333358169,3.13944792747,-0.22868219018,0.0169521868229,-0.0157946124673,0.0,3.72029924393
1463677930953805865,0.116666667163,3.1398434639,-0.229028731585,0.00678053824231,-0.00499757286161,0.0,3.72029924393
1463677930987840199,0.15000000596,3.1387963295,-0.227907821536,-0.0696099027991,0.0722521468997,0.0,3.72029924393
1463677931021912435,0.183333337307,3.13485312462,-0.223846077919,-0.166972205043,0.171452000737,0.0,3.72029924393
1463677931089269542,0.216666668653,3.12906980515,-0.217855960131,-0.180025741458,0.187955439091,0.0,3.72029924393
1463677931094331323,0.25,3.12544488907,-0.2138877213,-0.0374745391309,0.0501383878291,0.0,3.72029924393
1463677931120498125,0.283333331347,3.12534046173,-0.213273763657,0.0312010329217,-0.0133009264246,0.0,3.72029924393
1463677931154285231,0.316666662693,3.12520980835,-0.212456449866,-0.0390301607549,0.062340259552,0.0,3.72029924393
1463677931188381171,0.34999999404,3.12207722664,-0.208444669843,-0.148923128843,0.178366750479,0.0,3.72029924393
1463677931223384019,0.383333325386,3.1081931591,-0.193414479494,-0.684124708176,0.723444283009,0.0,3.72029924393
1463677931275540064,0.416666656733,3.06614780426,-0.149705395103,-1.83859634399,1.89910054207,0.0,3.72029924393
1463677931286467899,0.449999988079,3.00441336632,-0.0853191614151,-1.86546623707,1.96407365799,0.0,3.72029924393
1463677931322506636,0.483333319426,2.93649721146,-0.013041516766,-2.20950818062,2.37258505821,0.0,3.72029924393
1463677931354691589,0.516666650772,2.83823800087,0.0928103253245,-3.68603801727,3.97852563858,0.0,3.72029924393
1463677931387927443,0.550000011921,2.74207210541,0.199016243219,-2.08392310143,2.39382886887,0.0,3.72029924393
1463677931421294592,0.583333313465,2.67286729813,0.281112968922,-2.06836819649,2.53197598457,0.0,3.72029924393
1463677931491391837,0.616666674614,2.60987520218,0.361762613058,-1.71115005016,2.30700182915,0.0,3.72029924393
1463677931497288333,0.649999976158,2.55663609505,0.437638103962,-1.48319661617,2.24552726746,0.0,3.72029924393
1463677931521694544,0.683333337307,2.51278996468,0.509500741959,-1.14758241177,2.06622982025,0.0,3.72029924393
1463677931554767187,0.716666638851,2.45237517357,0.610390901566,-2.47730088234,3.98717975616,0.0,3.72029924393
1463677931588099807,0.75,2.3952832222,0.713980853558,-0.94821369648,2.22821974754,0.0,3.72029924393
1463677931621483576,0.783333361149,2.36857676506,0.786695897579,-0.65417098999,2.1346821785,0.0,3.72029924393
1463677931677223355,0.816666662693,2.3487432003,0.860517084599,-0.535848855972,2.29458975792,0.0,3.72029924393
1463677931688133862,0.850000023842,2.33633947372,0.934781432152,-0.208377793431,2.16127038002,0.0,3.72029924393
1463677931721438409,0.883333325386,2.32616829872,1.01722955704,-0.401886940002,2.78561496735,0.0,3.72029924393
1463677931754561973,0.916666686535,2.32313871384,1.10068261623,0.220105394721,2.22157144547,0.0,3.72029924393
1463677931787420179,0.949999988079,2.33487200737,1.17407381535,0.483895897865,2.18190050125,0.0,3.72029924393
1463677931822082244,0.983333349228,2.3515484333,1.25159418583,0.516691684723,2.46932339668,0.0,3.72029924393
1463677931887603487,1.01666665077,2.37394714355,1.3319722414,0.827232897282,2.35335564613,0.0,3.72029924393
1463677931893427491,1.04999995232,2.42686533928,1.38060700893,2.34786224365,0.564731657505,0.0,3.72029924393
1463677931920903655,1.08333337307,2.51328873634,1.39321637154,2.8375389576,0.191831722856,0.0,3.72029924393
1463677931954397053,1.11666667461,2.61089420319,1.39946234226,3.01878523827,0.182924717665,0.0,3.72029924393
1463677931987525407,1.14999997616,2.71800112724,1.40096974373,3.40763497353,-0.0924816951156,0.0,3.72029924393
1463677932021302975,1.1833332777,2.83381080627,1.39748668671,3.54094743729,-0.116502352059,0.0,3.72029924393
1463677932082919001,1.21666669846,2.96370816231,1.3826174736,4.25289344788,-0.775650143623,0.0,3.72029924393
1463677932086393639,1.25,3.1033782959,1.35933423042,4.12730741501,-0.621340990067,0.0,3.72029924393
1463677932120958637,1.28333330154,3.24686193466,1.33242785931,4.4817199707,-0.993038833141,0.0,3.72029924393
1463677932153887956,1.3166667223,3.41077876091,1.28346419334,5.3532834053,-1.94478559494,0.0,3.72029924393
1463677932187535359,1.35000002384,3.57135725021,1.23550844193,4.28142023087,-0.932558059692,0.0,3.72029924393
1463677932220545806,1.38333332539,3.72430539131,1.18965196609,4.89547777176,-1.81883442402,0.0,3.72029924393
1463677932280104362,1.41666662693,3.90861392021,1.09786939621,6.16303348541,-3.68811678886,11.6571731567,3.72029924393
1463677932287068241,1.45000004768,4.08577394485,1.01193463802,4.46656131744,-1.4679684639,11.6571731567,3.72029924393
1463677932321262773,1.48333334923,4.24148464203,0.940961062908,4.87607955933,-2.79044413567,11.6571731567,3.72029924393
1463677932354067595,1.51666665077,4.41062545776,0.8170119524,5.27237844467,-4.64650535583,11.6571731567,3.72029924393
1463677932386971942,1.54999995232,4.57410097122,0.694091022015,4.53613996506,-2.72874879837,11.6571731567,3.72029924393
1463677932421091199,1.58333337307,4.71923303604,0.611421823502,4.17180395126,-2.23140263557,11.6571731567,3.72029924393
