%time,field.sys_time,field.q0,field.q1,field.dq0,field.dq1,field.sac0,field.u0
1463675716783365351,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1463675716795190612,0.0166666675359,3.14004993439,-3.17644166946,-0.0925675630569,0.0929739773273,0.0,0.0
1463675716827950486,0.0500000007451,3.12873935699,-3.16506266594,-0.586060643196,0.589771866798,0.0,0.0
1463675716860865798,0.0833333358169,3.11342859268,-3.149507761,-0.332587331533,0.34351837635,0.0,0.0
1463675716912478226,0.116666667163,3.0973212719,-3.13281869888,-0.633857131004,0.657831966877,0.0,0.0
1463675716928550290,0.15000000596,3.08697152138,-3.1214158535,0.012875860557,0.0263271257281,0.0,0.0
1463675716962119267,0.183333337307,3.08807992935,-3.12092518806,0.0536256469786,0.00312491692603,0.0,0.0
1463675716995376105,0.216666668653,3.09178709984,-3.12246608734,0.168803006411,-0.0955849885941,0.0,0.0
1463675717028382725,0.25,3.08752584457,-3.11545848846,-0.424471259117,0.516034126282,0.0,0.0
1463675717061150271,0.283333331347,3.07856297493,-3.10313057899,-0.113296821713,0.223648786545,0.0,0.0
1463675717095345955,0.316666662693,3.07244777679,-3.09296417236,-0.253619581461,0.386328577995,0.0,0.0
1463675717133084909,0.34999999404,3.04697704315,-3.06254696846,-1.27462744713,1.43871510029,0.0,0.0
1463675717160759506,0.383333325386,3.00585007668,-3.01529502869,-1.19298458099,1.3963984251,0.0,0.0
1463675717195471117,0.416666656733,2.94343543053,-2.94487261772,-2.5518951416,2.82894563675,0.0,0.0
1463675717229062253,0.449999988079,2.87731766701,-2.86872148514,-1.41517353058,1.7401239872,0.0,0.0
1463675717261918530,0.483333319426,2.8127515316,-2.7908782959,-2.45879983902,2.93046331406,0.0,0.0
1463675717295185276,0.516666650772,2.72950005531,-2.68962597847,-2.53628396988,3.14467263222,0.0,0.0
1463675717327296305,0.550000011921,2.64057612419,-2.57718682289,-2.79915380478,3.60168600082,0.0,0.0
1463675717361413424,0.583333313465,2.49832439423,-2.39662599564,-5.73595285416,7.23196315765,0.0,0.0
1463675717394754885,0.616666674614,2.33681797981,-2.19030737877,-3.95442938805,5.14714097977,0.0,0.0
1463675717428190436,0.649999976158,2.2044711113,-2.01128053665,-3.9863743782,5.59447336197,0.0,0.0
1463675717462991143,0.683333337307,2.07518362999,-1.82271635532,-3.77087926865,5.71937656403,0.0,0.0
1463675717494484832,0.716666638851,1.93919634819,-1.59628009796,-4.38836097717,7.8668012619,0.0,0.0
1463675717527253399,0.75,1.80702364445,-1.36409747601,-3.54199695587,6.06415605545,0.0,0.0
1463675717561974503,0.783333361149,1.69398081303,-1.15948224068,-3.24057459831,6.21275949478,0.0,0.0
1463675717595082203,0.816666662693,1.58666265011,-0.882592797279,-3.19851207733,10.4006071091,0.0,0.0
1463675717628792456,0.850000023842,1.48177802563,-0.637386441231,-3.0945649147,4.31177282333,0.0,0.0
1463675717662466783,0.883333325386,1.38755953312,-0.468939006329,-2.55854940414,5.79507303238,0.0,0.0
1463675717725006468,0.916666686535,1.31664168835,-0.235552921891,-1.69652211666,8.20809078217,0.0,0.0
1463675717731640461,0.949999988079,1.24569940567,-0.0325891114771,-2.5600092411,3.96973776817,0.0,0.0
1463675717761822759,0.983333349228,1.15612459183,0.0736101418734,-2.81448507309,2.40221738815,0.0,0.0
1463675717794537885,1.01666665077,1.08699190617,0.198027536273,-1.33347606659,5.06282615662,0.0,0.0
1463675717828672468,1.04999995232,1.0225687027,0.315649598837,-2.53191041946,1.99449717999,0.0,0.0
1463675717861736875,1.08333337307,0.932077884674,0.362946033478,-2.89754295349,0.843288600445,0.0,0.0
1463675717927009373,1.11666667461,0.83867418766,0.389310389757,-2.7066783905,0.73857319355,0.0,0.0
1463675717931376411,1.14999997616,0.746171474457,0.405046224594,-2.8434844017,0.205577820539,0.0,0.0
1463675717962955276,1.1833332777,0.655276596546,0.412297278643,-2.61020922661,0.229484945536,0.0,0.0
1463675717995967328,1.21666669846,0.568728804588,0.416602015495,-2.58265542984,0.0287999138236,0.0,0.0
1463675718028581269,1.25,0.483005613089,0.414744883776,-2.56073713303,-0.14022795856,0.0,0.0
1463675718061746458,1.28333330154,0.397509455681,0.407276362181,-2.56903290749,-0.307884186506,0.0,0.0
1463675718131268036,1.3166667223,0.312342852354,0.395420730114,-2.54096341133,-0.40345415473,0.0,0.0
1463675718135087906,1.35000002384,0.222442060709,0.375009477139,-2.85308384895,-0.821219801903,0.0,0.0
1463675718161392892,1.38333332539,0.137946873903,0.357341259718,-2.21662735939,-0.238874748349,0.0,0.0
1463675718194928993,1.41666662693,0.0605191327631,0.345214337111,-2.42903709412,-0.488740324974,0.0,0.0
1463675718228124738,1.45000004768,-0.0408335439861,0.308425456285,-3.65212345123,-1.7185921669,0.0,0.0
1463675718261859830,1.48333334923,-0.14572635293,0.268464714289,-2.64144492149,-0.679053008556,0.0,0.0
1463675718330660789,1.51666665077,-0.225133880973,0.255580425262,-2.12300682068,-0.0940032377839,0.0,0.0
1463675718337710133,1.54999995232,-0.294193923473,0.255600810051,-2.02059578896,0.0952254459262,0.0,0.0
1463675718362542197,1.58333337307,-0.360722243786,0.261437594891,-1.97110414505,0.254981458187,0.0,0.0
1463675718394560725,1.61666667461,-0.419945955276,0.279147624969,-1.58231818676,0.807621538639,0.0,0.0
1463675718428271022,1.64999997616,-0.472912162542,0.308379620314,-1.59565448761,0.94629830122,0.0,0.0
1463675718461810695,1.6833332777,-0.52238458395,0.347075253725,-1.37269091606,1.37543916702,0.0,0.0
