%time,field.sys_time,field.theta,field.y,field.dtheta,field.dy,field.sac
1454689657321757728,0.0166666675359,3.14159274101,-0.354535400867,0.0,0.0,0.0
1454689657335830613,0.0500000007451,3.13976359367,-0.352698415518,-0.109737843275,0.0,0.0
1454689657369081455,0.0833333358169,3.1382188797,-0.351123929024,0.0170535370708,0.00367398653179,0.0
1454689657403631944,0.116666667163,3.13850855827,-0.351352483034,0.000321890955092,0.00314897857606,0.0
1454689657437128244,0.15000000596,3.13854885101,-0.351297497749,0.00209428090602,0.00321687222458,0.0
1454689657468948145,0.183333337307,3.13930654526,-0.35192990303,0.0433645583689,0.00325896707363,0.0
1454689657502503607,0.216666668653,3.14019680023,-0.352671980858,0.0100572761148,0.00195201975293,0.0
1454689657535887069,0.25,3.14043807983,-0.352748334408,0.00441646017134,0.00177482445724,0.0
1454689657569934496,0.283333331347,3.14033937454,-0.35247117281,-0.0103324893862,0.00179931102321,0.0
1454689657602836113,0.316666662693,3.14026904106,-0.352208554745,0.00611028447747,0.0023291260004,0.0
1454689657636093790,0.34999999404,3.14105534554,-0.352791666985,0.0410585999489,0.00232455227524,0.0
1454689657668721800,0.383333325386,3.14211201668,-0.353642046452,0.0223464313895,0.0011628952343,0.0
1454689657702685583,0.416666656733,3.14391565323,-0.355250090361,0.0858772844076,0.00062383414479,0.0
1454689657735425797,0.449999988079,3.1605348587,-0.371765255928,0.91127127409,-0.00205318210647,0.0
1454689657769776265,0.483333319426,3.18721389771,-0.398615837097,0.689464449883,-0.0324065424502,0.0
1454689657802497830,0.516666650772,3.22552132607,-0.437702924013,1.60898399353,-0.0557543076575,0.0
1454689657862080904,0.550000011921,3.31094455719,-0.525213301182,3.51641917229,-0.110580734909,0.0
1454689657868705880,0.583333313465,3.41001033783,-0.62812936306,2.42752575874,-0.230775117874,0.0
1454689657903755077,0.616666674614,3.4775197506,-0.701465904713,1.62304127216,-0.316412746906,0.0
1454689657936403317,0.649999976158,3.54580998421,-0.779830873013,2.47436332703,-0.377448260784,0.0
1454689657970222893,0.683333337307,3.6526362896,-0.905169785023,3.93522644043,-0.473142683506,0.0
1454689658006832774,0.716666638851,3.74095273018,-1.01266086102,1.36374878883,-0.628126084805,0.0
1454689658071010009,0.75,3.81174755096,-1.1078441143,2.88394451141,-0.6881249547,0.0
1454689658074138237,0.783333361149,3.87408685684,-1.19810783863,0.856408655643,-0.818492531776,0.0
1454689658109809918,0.816666662693,3.90459394455,-1.25602293015,0.974018335342,-0.868652403355,0.0
1454689658136818033,0.850000023842,3.94862008095,-1.3434022665,1.66754817963,-0.934322714806,0.0
1454689658168884974,0.883333325386,3.9867143631,-1.43244957924,0.618112146854,-1.04341101646,0.0
1454689658204325014,0.916666686535,4.00202417374,-1.49965679646,0.30048891902,-1.11241745949,0.0
1454689658256985864,0.949999988079,4.00839471817,-1.56583571434,0.0817443579435,-1.17782533169,0.0
1454689658270507020,0.983333349228,4.00574874878,-1.63088524342,-0.240514948964,-1.24477529526,0.0
1454689658305218639,1.01666665077,3.98905801773,-1.68701207638,-0.760931551456,-1.30792427063,0.0
1454689658336758250,1.04999995232,3.96693968773,-1.74695420265,-0.566164493561,-1.35702896118,0.0
1454689658369991691,1.08333337307,3.92720842361,-1.7929494381,-1.81771075726,-1.43148255348,0.0
1454689658404887962,1.11666667461,3.86552476883,-1.81771063805,-1.88330960274,-1.45216846466,0.0
1454689658465339998,1.14999997616,3.79879713058,-1.84531891346,-2.12034988403,-1.48054790497,0.0
1454689658474463927,1.1833332777,3.71866202354,-1.86437690258,-2.68775105476,-1.50749492645,24.4834060669
1454689658503132055,1.21666669846,3.621332407,-1.86969685555,-3.15203642845,-1.51739907265,24.4834060669
1454689658535675740,1.25,3.51420593262,-1.86923575401,-3.27554106712,-1.51665067673,24.4834060669
1454689658569220984,1.28333330154,3.40330576897,-1.86876678467,-3.37847566605,-1.51632416248,24.4834060669
1454689658602062977,1.3166667223,3.2896668911,-1.86816799641,-3.439858675,-1.51626694202,24.4834060669
1454689658661614603,1.35000002384,3.17488002777,-1.86783051491,-3.44734215736,-1.5156519413,24.4834060669
1454689658668700874,1.38333332539,3.05988931656,-1.86745929718,-3.45210385323,-1.51442563534,0.0
1454689658702997280,1.41666662693,2.94605541229,-1.86717534065,-3.37793445587,-1.51320898533,0.0
1454689658737344530,1.45000004768,2.83436274529,-1.86672747135,-3.32362127304,-1.51064145565,0.0
1454689658770368026,1.48333334923,2.72530221939,-1.86541378498,-3.22001957893,-1.4792829752,0.0
1454689658803757808,1.51666665077,2.6193459034,-1.86248028278,-3.13735842705,-1.45431303978,0.0
1454689658860263904,1.54999995232,2.51773428917,-1.85815596581,-2.95933675766,-1.39524173737,0.0
1454689658868720349,1.58333337307,2.42259693146,-1.85380852222,-2.74889874458,-1.27064371109,0.0
1454689658902536459,1.61666667461,2.32807731628,-1.84017837048,-2.92227387428,-1.18071460724,0.0
1454689658936107715,1.64999997616,2.23543000221,-1.81807100773,-2.63656902313,-1.0967104435,0.0
1454689658970164464,1.6833332777,2.15076804161,-1.79464352131,-2.44314479828,-0.979770004749,0.0
1454689659002729268,1.71666669846,2.07195973396,-1.76493954659,-2.28536057472,-0.799177527428,0.0
1454689659063318154,1.75,1.99034059048,-1.70790088177,-2.61178469658,-0.705379843712,0.0
1454689659068643627,1.78333330154,1.91227304935,-1.63815844059,-2.07227182388,-0.494733542204,0.0
1454689659102732113,1.8166667223,1.85103607178,-1.58757209778,-1.60194456577,-0.385367661715,0.0
1454689659135837468,1.85000002384,1.79308962822,-1.50624728203,-1.8748434782,-0.277730464935,0.0
1454689659170123356,1.88333332539,1.74098885059,-1.4119528532,-1.25120615959,-0.0479596555233,0.0
1454689659202959154,1.91666662693,1.70627069473,-1.35465991497,-0.831879794598,0.0889531373978,0.0
1454689659267282143,1.95000004768,1.67978954315,-1.27351105213,-0.756989181042,0.20104059577,0.0
1454689659271377978,1.98333334923,1.66335237026,-1.19288027287,-0.229243755341,0.383608788252,0.0
1454689659304994001,2.01666665077,1.65978312492,-1.13194787502,0.0150912664831,0.492401093245,0.0
1454689659336556965,2.04999995232,1.66418790817,-1.03868615627,0.249196231365,0.617727279663,0.0
1454689659369519472,2.08333325386,1.67973339558,-0.94723790884,0.683534085751,0.7988088727,0.0
1454689659403121777,2.1166665554,1.70906591415,-0.884393334389,1.0764131546,0.892614066601,0.0
1454689659435931554,2.15000009537,1.74441790581,-0.793494343758,1.04471051693,0.974020600319,0.0
1454689659469794931,2.18333339691,1.78921043873,-0.689394414425,1.64283633232,1.12962841988,0.0
1454689659502800669,2.21666669846,1.85242986679,-0.623217999935,2.15033102036,1.22033643723,0.0
1454689659536029805,2.25,1.91817414761,-0.534934580326,1.79432380199,1.27262127399,0.0
1454689659569922748,2.28333330154,1.99768531322,-0.451239138842,2.97635149956,1.39598107338,0.0
1454689659603914603,2.31666660309,2.09829449654,-0.400265038013,3.06020379066,1.43907415867,0.0
1454689659635871507,2.34999990463,2.20599961281,-0.344283103943,3.40209889412,1.49673187733,0.0
1454689659683409110,2.3833334446,2.3310148716,-0.302428603172,4.09881496429,1.55036306381,-18.8219184875
1454689659702928159,2.41666674614,2.47496771812,-0.27755689621,4.5383515358,1.57969844341,-18.8219184875
