%time,field.sys_time,field.theta,field.y,field.dtheta,field.dy,field.sac
1454689389749407887,0.0166666675359,3.14421653748,-0.341379523277,0.157432064414,0.0,0.0
1454689389774853721,0.0500000007451,3.14614129066,-0.343345761299,-0.0419397726655,-0.00527076376602,0.0
1454689389808446674,0.0833333358169,3.1451561451,-0.342442005873,-0.0171679444611,-0.00393248768523,0.0
1454689389843248640,0.116666667163,3.14394116402,-0.341344475746,-0.055734552443,-0.00346320332028,0.0
1454689389902394597,0.15000000596,3.14184355736,-0.339384168386,-0.0701192244887,-0.00173748470843,0.0
1454689389908289993,0.183333337307,3.14037632942,-0.338056027889,-0.0179228167981,0.000457450572867,0.0
1454689389942692591,0.216666668653,3.14042377472,-0.338233828545,0.020778125152,0.000918763340451,0.0
1454689389976861358,0.25,3.1410484314,-0.338978558779,0.0167014952749,0.000101887868368,0.0
1454689390010094675,0.283333331347,3.14166998863,-0.339715212584,0.0205879658461,-0.000570692529436,0.0
1454689390043117364,0.316666662693,3.1421713829,-0.340333104134,0.00949494447559,-0.00137142196763,0.0
1454689390110416038,0.34999999404,3.14281988144,-0.34110596776,0.0294184256345,-0.00180648756213,0.0
1454689390116179288,0.383333325386,3.14310526848,-0.341528534889,-0.0122944246978,-0.00291714677587,0.0
1454689390143858649,0.416666656733,3.14260196686,-0.341175764799,-0.0179125461727,-0.00265162577853,0.0
1454689390176178678,0.449999988079,3.14218640327,-0.340921521187,-0.00701365619898,-0.00221158354543,0.0
1454689390209960556,0.483333319426,3.14225125313,-0.341155529022,0.0109063722193,-0.00214318512008,0.0
1454689390243271632,0.516666650772,3.14238119125,-0.341461956501,-0.00312004797161,-0.00267955311574,0.0
1454689390302216240,0.550000011921,3.14270496368,-0.341972202063,0.0225532036275,-0.00275608757511,35.0
1454689390308026830,0.583333313465,3.1434905529,-0.342958718538,0.0245754532516,-0.00370000978,35.0
1454689390343007027,0.616666674614,3.14503288269,-0.344727367163,0.0679636523128,-0.0047291116789,35.0
1454689390376277169,0.649999976158,3.14610385895,-0.346062719822,-0.0037033718545,-0.00723735662177,35.0
1454689390409198460,0.683333337307,3.1470785141,-0.347352266312,0.0621837563813,-0.00739980721846,35.0
1454689390443408269,0.716666638851,3.1503071785,-0.350967228413,0.131539717317,-0.00981645379215,35.0
1454689390505193778,0.75,3.15864729881,-0.359816610813,0.36887216568,-0.0146297067404,0.0
1454689390508776931,0.783333361149,3.17411017418,-0.376020431519,0.558899521828,-0.0275152195245,0.0
1454689390542241327,0.816666662693,3.2045416832,-0.407645374537,1.26698672771,-0.0470373444259,0.0
1454689390576712082,0.850000023842,3.26469373703,-0.46990314126,2.34214138985,-0.0907650887966,0.0
1454689390612301434,0.883333325386,3.35419583321,-0.563244283199,3.02797818184,-0.171552926302,0.0
1454689390643321296,0.916666686535,3.50353002548,-0.72059828043,5.93207359314,-0.277447402477,0.0
1454689390693266955,0.949999988079,3.64740109444,-0.872388005257,2.70019388199,-0.486260890961,0.0
1454689390709210783,0.983333349228,3.7346739769,-0.967372477055,2.53617787361,-0.581026792526,0.0
1454689390742505666,1.01666665077,3.86592578888,-1.12456250191,5.3389210701,-0.676229834557,0.0
1454689390776533230,1.04999995232,4.00140476227,-1.2880563736,2.78981590271,-0.890136182308,0.0
1454689390809777592,1.08333337307,4.0872335434,-1.39130973816,2.35992860794,-0.999285042286,0.0
1454689390845604957,1.11666667461,4.17504024506,-1.51487481594,2.90845990181,-1.09845042229,0.0
1454689390875960728,1.14999997616,4.2495059967,-1.62578511238,1.55950248241,-1.24861013889,0.0
1454689390908677479,1.1833332777,4.29034423828,-1.68453800678,0.890787780285,-1.3241918087,0.0
1454689390943289801,1.21666669846,4.32126903534,-1.74447059631,0.964693427086,-1.36877214909,0.0
1454689390976665070,1.25,4.34164381027,-1.8018887043,0.257787078619,-1.44370138645,0.0
1454689391008861251,1.28333330154,4.34224462509,-1.8328359127,-0.221720889211,-1.48211884499,0.0
1454689391043997583,1.3166667223,4.32859325409,-1.85232508183,-0.597388803959,-1.50412249565,0.0
1454689391114643363,1.35000002384,4.30359077454,-1.86827099323,-0.902758657932,-1.51986157894,0.0
1454689391117805810,1.38333332539,4.27255344391,-1.89369988441,-0.959457159042,-1.53446853161,0.0
1454689391143097105,1.41666662693,4.23084211349,-1.91772711277,-1.54324197769,-1.56987404823,0.0
1454689391175366890,1.45000004768,4.17384767532,-1.92889022827,-1.87642073631,-1.58322870731,0.0
1454689391210417346,1.48333334923,4.10646438599,-1.93771398067,-2.16656970978,-1.59270870686,0.0
1454689391242028266,1.51666665077,4.03293275833,-1.95093035698,-2.24532294273,-1.60040831566,0.0
1454689391293387468,1.54999995232,3.95199537277,-1.9659743309,-2.61093354225,-1.6185284853,0.0
1454689391308295689,1.58333337307,3.85689520836,-1.97176992893,-3.09506845474,-1.62947559357,0.0
1454689391342527140,1.61666667461,3.74032974243,-1.95857226849,-3.89886236191,-1.62814664841,0.0
1454689391375564448,1.64999997616,3.60873699188,-1.93366348743,-3.99670338631,-1.59954309464,0.0
1454689391409437194,1.6833332777,3.46153831482,-1.89693892002,-4.83521366119,-1.57565832138,0.0
1454689391442709786,1.71666669846,3.26696181297,-1.81416893005,-6.83938074112,-1.52351486683,0.0
1454689391490155150,1.75,3.04286026955,-1.70207548141,-6.60671138763,-1.40288841724,0.0
1454689391509433848,1.78333330154,2.83410024643,-1.60401177406,-5.91888856888,-1.28162932396,0.0
1454689391541521289,1.8166667223,2.55761528015,-1.42893517017,-10.6702127457,-1.17435348034,0.0
1454689391577522118,1.85000002384,2.26428055763,-1.24547958374,-6.92986679077,-0.868226051331,0.0
1454689391609565982,1.88333332539,2.02102303505,-1.11000776291,-7.66558218002,-0.682926952839,0.0
1454689391643377177,1.91666662693,1.76023197174,-0.909960091114,-7.98188686371,-0.410600036383,0.0
1454689391704060685,1.95000004768,1.49985957146,-0.674650669098,-7.64045286179,0.0318764075637,0.0
1454689391713732990,1.98333334923,1.24523794651,-0.465858191252,-7.63684511185,0.363598257303,0.0
1454689391742296724,2.01666665077,0.993947446346,-0.289516925812,-7.44058561325,0.6394302845,0.0
1454689391775581278,2.04999995232,0.746586084366,-0.123246572912,-7.40109872818,1.0306609869,0.0
1454689391809370381,2.08333325386,0.5175973773,0.0548999533057,-6.33822393417,1.29895865917,0.0
1454689391842402945,2.1166665554,0.279908925295,0.219275444746,-7.92308330536,1.59346067905,0.0
1454689391875581860,2.15000009537,0.0126547673717,0.348005861044,-8.11216545105,1.87483966351,0.0
1454689391928180057,2.18333339691,-0.219828099012,0.511231482029,-5.8368062973,2.07274222374,0.0
1454689391942473787,2.21666669846,-0.512389063835,0.612199187279,-11.7168521881,2.31879663467,0.0
1454689391976564317,2.25,-0.913627266884,0.602474451065,-12.3574409485,2.39454293251,0.0
